name	title	authors	year	venue	arxiv_id_or_doi	repo_url	stars	last_push	license	artefact_released	one_line	capability	relevance_0_3	disposition	reason	lanes
LoRA	LoRA: Low-Rank Adaptation of Large Language Models	Edward J. Hu, Yelong Shen, Phillip Wallis, Zeyuan Allen-Zhu, Yuanzhi Li, Shean Wang, Lu Wang, Weizhu Chen	2021	not venue-checked (arXiv abs opened)	2106.09685	https://github.com/microsoft/LoRA	13789	2024-12-17T03:55:52Z	MIT	code+checkpoints (per paper)	Freezes base weights, trains rank-r BA adapters; includes rank-deficiency and W_q/W_v-only ablations.	5	3	admit	Abs page opened; base reference for all rank/alpha/target-module claims.	5
LoRAMoE	LoRAMoE: Alleviate World Knowledge Forgetting in Large Language Models via MoE-Style Plugin	Shihan Dou; Enyu Zhou; Yan Liu; Songyang Gao; Jun Zhao; Wei Shen; Yuhao Zhou; Zhiheng Xi	2023	arXiv preprint	2312.09979				unknown	unknown	Frozen backbone + routed LoRA experts with a world-knowledge expert split; forgetting worsens with more instruction data	3	3	admit	Abs page + PDF opened; MoE-LoRA pattern for keeping generation while adding a specialty	3
LongLLMLingua	LongLLMLingua: Accelerating and Enhancing LLMs in Long Context Scenarios via Prompt Compression	Huiqiang Jiang; Qianhui Wu; Xufang Luo; Dongsheng Li; Chin-Yew Lin; Yuqing Yang; Lili Qiu	2024	ACL 2024	2310.06839	https://github.com/microsoft/LLMLingua	6650	2026-09-10	MIT	code released (shared repo)	Question-aware compression via contrastive perplexity plus document reordering; NQ +21.4% with 4x fewer tokens.	6	3	admit	Verified at arXiv abs page, ACL Anthology citation, and Microsoft Research page; core Q6 evidence on query-aware payload assembly and ordering.	9
LoRAHub	LoraHub: Efficient Cross-Task Generalization via Dynamic LoRA Composition	Chengsong Huang; Qian Liu; Bill Yuchen Lin; Tianyu Pang; Chao Du; Min Lin	2023	COLM 2024	2307.13269	https://github.com/sail-sg/lorahub	669	2024-07-22	MIT	code + HF lorahub modules released	Gradient-free composition of a library of task LoRAs for few-shot transfer	3	3	admit	Abs page + PDF opened; directly maps to per-pass adapter-toggle arm of spike 011	3
Lost-in-the-Middle	Lost in the Middle: How Language Models Use Long Contexts	Nelson F. Liu; Kevin Lin; John Hewitt; Ashwin Paranjape; Michele Bevilacqua; Fabio Petroni; Percy Liang	2024	TACL 2024	2307.03172	https://github.com/nelson-liu/lost-in-the-middle-code	unknown	unknown	unknown	code+data released per paper	U-shaped position bias; reader QA saturates by ~20 docs; recommends reranking and truncation.	6	3	admit	Verified at arXiv abs page and TACL/ACL Anthology pages; repo URL from paper text, star/push/license not verified via API (rate-limited) so recorded as unknown.	9
MiniLLM	MINILLM: ON-POLICY DISTILLATION OF LARGE LANGUAGE MODELS	Gu, Yuxian; Dong, Li; Wei, Furu; Huang, Minlie	2023	ICLR 2024	2306.08543	https://github.com/microsoft/LMOps	4473	2026-07-25	MIT	yes (code, data, checkpoints per abstract)	reverse-KL on-policy distillation for generative LMs; scales 120M to 13B	4	3	admit	verified via arXiv abs page and downloaded PDF; core on-policy distillation recipe	4
KTO	MODEL ALIGNMENT AS PROSPECT THEORETIC OPTIMIZATION	Ethayarajh, Kawin; Xu, Winnie; Muennighoff, Niklas; Jurafsky, Dan; Kiela, Douwe	2024	arXiv preprint (venue not verified)	2402.01306					unknown	matches/exceeds preference methods at 1B to 30B from binary desirable/undesirable signals only	4	3	admit	verified via arXiv abs page and downloaded PDF; Proof pass/fail maps directly onto KTO labels	4
MTEB	MTEB: Massive Text Embedding Benchmark	Niklas Muennighoff, Nouamane Tazi, Loic Magne, Nils Reimers	2023	EACL 2023	2210.07316	https://github.com/embeddings-benchmark/mteb	3420	2026-09-11	Apache-2.0	yes: code, 58 datasets, HF leaderboard	8-task embedding benchmark (retrieval, STS, clustering, rerank, classification...); no single method dominates all tasks.	3	3	admit	Abs page and full PDF opened; id-title match verified.	8
Magpie	Magpie: Alignment Data Synthesis from Scratch by Prompting Aligned LLMs with Nothing	Zhangchen Xu, Fengqing Jiang, Luyao Niu, Yuntian Deng, Radha Poovendran, Yejin Choi, Bill Yuchen Lin	2024	ICLR 2025 (per author repo description)	2406.08464	https://github.com/magpie-align/magpie	884	2025-03-17	MIT	Data: HF Magpie-Align org (e.g. Pro 300K); 4M generated, 300K filtered per paper	Extracts instruction data from an aligned teacher using only its pre-query template; SFT-only rivals SFT+DPO pipelines.	2	3	admit	Verified at arxiv.org/abs/2406.08464; PDF downloaded and text-checked.	2
MiniCPM4	MiniCPM4: Ultra-Efficient LLMs on End Devices	MiniCPM Team (Xiao et al.)	2025	arXiv preprint (cs.CL)	2506.07900	https://github.com/OpenBMB/MiniCPM	10885	2026-09-12	Apache-2.0	yes (0.5B/8B weights on HF, CPM.cu code)	UltraChat v2 SFT dataset; ModelTunnel v2 hyperparam search; chunk-wise rollout load-balanced RL; BitCPM ternary QAT	4	3	admit	Primary verified (abs page + PDF fetched); newest MiniCPM post-training recipe incl. RL load-balancing	7
MiniCPM-2024	MiniCPM: Unveiling the Potential of Small Language Models with Scalable Training Strategies	Hu et al.	2024	arXiv preprint (cs.CL)	2404.06395	https://github.com/OpenBMB/MiniCPM	10885	2026-09-12	Apache-2.0	yes (weights on HF, code on GitHub)	WSD LR schedule; decay-stage annealing on pretrain+SFT mix (20B tokens); separate ~6B-token SFT; DPO family member	4	3	admit	Primary verified (abs page + PDF fetched); the rig's own model family recipe	7
MiniRAG	MiniRAG: Towards Extremely Simple Retrieval-Augmented Generation	Fan; Wang; Ren; Huang	2025	ACL 2026 (arXiv Jan 2025; repo labels ACL2026)	2501.06713	https://github.com/HKUDS/MiniRAG	2014	2025-10-16T07:43:16Z	MIT	code plus LiHua-World benchmark data (repo)	Heterogeneous chunk-entity graph plus lightweight topology retrieval lets 1.5B-4B SLMs (incl. MiniCPM3-4B, Qwen2.5-3B) match LLM RAG at 25 percent storage; entity extraction is the designated easy subtask.	3,6	3	admit	Abs page, PDF and repo opened and verified; only system proving small-model RAG with a MiniCPM-class generator, and it delegates the hard semantics to the graph.	10
MoLoRA	MoLoRA: Composable Specialization via Per-Token Adapter Routing	Shrey Shah; Justin Wagle	2026	arXiv preprint	2603.15965				unknown	unknown	Per-token adapter routing proven optimal vs per-sequence; Qwen3-1.7B exceeds Qwen3-8B via specialization	3	3	admit	Abs page + PDF opened; strongest evidence for per-pass/per-token adapter toggling over one static joint adapter	3
NV-Embed	NV-Embed: Improved Techniques for Training LLMs as Generalist Embedding Models	Chankyu Lee; Rajarshi Roy; Mengyao Xu; Jonathan Raiman; Mohammad Shoeybi; Bryan Catanzaro; Wei Ping	2024	arXiv preprint	2405.17428				unknown	unknown	Latent-attention pooling plus causal-mask removal plus two-stage contrastive instruction tuning with hard negatives	3	3	admit	Abs page + PDF opened; canonical decoder-to-embedder conversion recipe	3
GKD	ON-POLICY DISTILLATION OF LANGUAGE MODELS: LEARNING FROM SELF-GENERATED MISTAKES	Agarwal, Rishabh; Vieillard, Nino; Zhou, Yongchao; Stanczyk, Piotr; Ramos, Sabela; Geist, Matthieu et al.	2023	ICLR 2024	2306.13649					unknown	trains student on its own generated sequences with teacher feedback; unifies distillation with RLHF	4	3	admit	verified via arXiv abs page and downloaded PDF; on-policy + RL integration	4
OPLoRA	OPLoRA: Orthogonal Projection LoRA Prevents Catastrophic Forgetting during Parameter-Efficient Fine-Tuning	Yifeng Xiong, Xiaohui Xie	2025	AAAI 2026	2510.13003	unknown	unverified	unverified	unverified	unknown	Double-sided projections constrain updates to orthogonal complement of top-k singular subspace with preservation proof; rho_k interference metric; Llama-2-7B + Qwen2.5-7B.	5	3	admit	Abs + AAAI page + HTML excerpts opened; most direct anti-forgetting construction for spike 011 KL-anchor arm.	5
OPR	On-Policy Replay for Continual Supervised Fine-Tuning	Yan Chen; Taojie Zhu; Meng Zhang; Xin Chen; Jiaqi Huang; Dongyang Xu; Yizhi Wang	2026	arXiv preprint	2605.29495	https://github.com/Yancey2024/OnPolicyReplay	3	2026-05-29	none	training code released	Replay of reward-filtered own-outputs as plain SFT; no teacher; KL-shrinkage interpretation; BWT -13.93 to -0.65	3	3	admit	Abs page + PDF opened; repo verified via API; replay recipe for op-emission retention	3
Phi-4	Phi-4 Technical Report	Abdin et al.	2024	arXiv preprint (cs.CL)	2412.08905	n/a	n/a	n/a	MIT (weights per HF)	yes (weights on HF)	50-type synthetic data factory (~400B tokens: multi-agent prompting, self-revision, instruction reversal); SFT then pivotal-token DPO + judge-guided DPO (~850k pairs)	2	3	admit	Primary verified (abs page + PDF fetched); most detailed synthetic-data factory for reasoning; pivotal-token DPO is a validator-adjacent preference signal	7
Phi-4-mini	Phi-4-Mini Technical Report: Compact yet Powerful Multimodal Language Models via Mixture-of-LoRAs	Microsoft (Abouelenin et al.)	2025	arXiv preprint (cs.CL)	2503.01743	n/a	n/a	n/a	MIT (weights per HF)	yes (3.8B weights on HF)	3.8B on synthetic-heavy reasoning/code mix with enlarged function-calling + summarization SFT; frozen backbone + per-modality LoRA routers (Mixture-of-LoRAs) for interference-free extension	1	3	admit	Primary verified (abs page + PDF fetched); function-calling SFT emphasis + frozen-backbone LoRA precedent directly relevant to harness emission and adapter toggling	7
Phi-4-mini-reasoning	Phi-4-Mini-Reasoning: Exploring the Limits of Small Reasoning Language Models in Math	Xu et al.	2025	arXiv preprint (cs.CL)	2504.21233	n/a	n/a	n/a	MIT (weights per HF)	yes (weights + 150B-token training disclosure on HF card)	3.8B: large-scale mid-training on distilled long-CoT, SFT on 200K curated CoT, rollout DPO on 300K pairs (LR 5e-7, 1 epoch), then verifiable-reward RL; beats 7-8B distills on MATH-500	4	3	admit	Primary verified (abs page + PDF + HF card fetched); complete 4-stage small-model reasoning recipe with stage LRs and data sizes	7
PPI	Prediction-Powered Inference	Anastasios Angelopoulos, Stephen Bates, Clara Fannjiang, Michael Jordan, Tijana Zrnic	2023	Science 382 (6671)	2301.09633					yes: code linked from paper (URL not recorded)	Valid confidence intervals combining a small labeled set with many model predictions; more accurate predictor means tighter intervals.	3	3	admit	Abs page and full PDF opened; id-title match verified. Repo URL not recorded so stars/push left blank.	8
Prometheus-2	Prometheus 2: An Open Source Language Model Specialized in Evaluating Other Language Models	Seungone Kim et al.	2024	EMNLP 2024	2405.01535	https://github.com/prometheus-eval/prometheus-eval	1115	2025-04-25	Apache-2.0	yes: code, Preference Collection, 7B and 8x7B evaluators	Adds pairwise ranking via weight-merged direct-assessment and preference models; 0.6-0.7 Pearson with GPT-4, 72-85pct human agreement.	6	3	admit	Abs page and full PDF opened; id-title match verified.	8
Prometheus	Prometheus: Inducing Fine-grained Evaluation Capability in Language Models	Seungone Kim et al.	2024	ICLR 2024	2310.08491	https://github.com/prometheus-eval/prometheus	325	2023-11-11	MIT	yes: code, Feedback Collection, 13B evaluator on HF	Open 13B evaluator trained on 1K rubrics/100K GPT-4 feedbacks; Pearson 0.897 with humans, on par with GPT-4 when reference materials accompany.	6	3	admit	Abs page and full PDF opened; id-title match verified.	8
Qwen2.5	Qwen2.5 Technical Report	Qwen Team (Yang et al.)	2024	arXiv preprint (cs.CL)	2412.15115	n/a	n/a	n/a	Apache-2.0 (weights per HF)	yes (0.5B-72B weights on HF)	SFT on 1M+ samples, 2 epochs, seq 32768, LR 7e-6 to 7e-7, wd 0.1; then offline DPO + online GRPO	4	3	admit	Primary verified (abs page + PDF fetched); exact small-model SFT hyperparameters disclosed	7
Qwen3	Qwen3 Technical Report	Qwen Team (Yang et al.)	2025	arXiv preprint (cs.CL)	2505.09388	https://github.com/QwenLM/Qwen3	27609	2026-01-09	Apache-2.0 (weights per HF)	yes (0.6B-235B weights on HF)	4-stage post-training (long-CoT cold start, reasoning GRPO on 3995 pairs, mode-fusion SFT, general RL); small models via off-policy + on-policy (KL) strong-to-weak distillation, which beats RL at ~1/10 GPU-hours	4	3	admit	Primary verified (abs page + PDF fetched); key distillation-vs-RL efficiency result for small models	7
RA-DIT	RA-DIT: Retrieval-Augmented Dual Instruction Tuning	Lin; Chen; Chen; Shi; Lomeli; James; Rodriguez; Kahn; Szilvasy; Lewis; Zettlemoyer; Yih	2023	ICLR 2024	2310.01352	https://github.com/facebookresearch/RA-DIT	3	2025-09-18T22:46:13Z	NOASSERTION (no machine-readable license)	code (artifact release)	Lightweight two-step retrofit of any LLM (7B/13B/65B tested): retrieval-augmented instruction tuning for the LM plus LM-supervised retriever tuning; parametric knowledge preserved on 7/8 control tasks.	3,4	3	admit	Abs page, PDF, ICLR page and repo verified; the most directly transferable joint recipe: no retrieval-specific pre-training required.	10
RAFT	RAFT: Adapting Language Model to Domain Specific RAG	Tianjun Zhang, Shishir G. Patil, Naman Jain, Sheng Shen, Matei Zaharia, Ion Stoica, Joseph E. Gonzalez	2024	arXiv preprint (venue unverified)	2403.10131	none found	unverified	unverified	unverified	Recipe + dataset construction (NQ, HotpotQA, Gorilla API) described in paper	Trains with golden + distractor documents and CoT answers so the model reasons over retrieved context.	2	3	admit	Verified at arxiv.org/abs/2403.10131; PDF downloaded and text-checked.	2,10
RAPTOR	RAPTOR: Recursive Abstractive Processing for Tree-Organized Retrieval	Parth Sarthi; Salman Abdullah; Aditi Tuli; Shubh Khanna; Anna Goldie; Christopher D. Manning	2024	ICLR 2024	2401.18059	https://github.com/parthsarthi03/raptor	1755	2024-09-03	MIT	code released	Recursive embed-cluster-summarize tree; collapsed-tree retrieval mixes abstraction levels; QuALITY +20pp with GPT-4.	6	3	admit	Verified at arXiv abs page, ICLR proceedings page, and GitHub API; multi-granularity payload assembly directly applicable to sectioned-document payloads.	9
REALM	REALM: Retrieval-Augmented Language Model Pre-Training	Guu; Lee; Tung; Pasupat; Chang	2020	ICML 2020	2002.08909	https://github.com/google-research/language (monorepo; REALM code under language/realm)	1799	2026-06-10T18:34:36Z	Apache-2.0	code (monorepo subdir)	First unsupervised joint pre-training of a dense retriever with an LM via backprop through MIPS over millions of docs with async index refresh.	3	3	admit	Abs page, PDF and repo page opened and verified; canonical joint retriever-plus-generator training recipe.	10
RECOMP	RECOMP: Improving Retrieval-Augmented LMs with Compression and Selective Augmentation	Fangyuan Xu; Weijia Shi; Eunsol Choi	2024	ICLR 2024	2310.04408	https://github.com/carriex/recomp	149	2026-01-06	MIT	extractive+abstractive compressors on Hugging Face; code released	End-task-trained extractive and abstractive query-focused compressors with selective (possibly empty) augmentation.	6	3	admit	Verified at arXiv abs page, ICLR proceedings page, repo README, and GitHub API; closest precedent for training a small composer against consumer end-task signal.	9
OneShotRLVR	REINFORCEMENT LEARNING FOR REASONING IN LARGE LANGUAGE MODELS WITH ONE TRAINING EXAMPLE	Wang, Yiping; Yang, Qing; Zeng, Zhiyuan; Ren, Liliang; Liu, Liyuan; Peng, Baolin et al.	2025	NeurIPS 2025 (per repo description)	2504.20571	https://github.com/ypwang61/One-Shot-RLVR	445	2026-03-11	Apache-2.0	yes (code and resources)	1-example RLVR lifts Qwen2.5-Math-1.5B MATH500 36.0 to 73.6 percent; matches 1.2k-example run; entropy bonus critical	4	3	admit	verified via arXiv abs page, GitHub API, downloaded PDF; tiny-data RL evidence at 1.5B/3B scale	4
REPLUG	REPLUG: Retrieval-Augmented Black-Box Language Models	Shi; Min; Yasunaga; Seo; James; Lewis; Zettlemoyer; Yih	2023	NAACL 2024	2301.12652	https://github.com/swj0419/REPLUG (URL as claimed in paper; GitHub API returned 404 on 2026-09-12)	n/a (unverifiable)	n/a	n/a	unverified	Black-box LM with a tunable retriever supervised by LM perplexity (REPLUG LSR); improves GPT-3 175B LM likelihood 6.3 percent and Codex 5-shot MMLU 5.1 percent.	3,4	3	admit	Abs page, PDF and ACL page opened and verified; proves the retriever can be adapted to a frozen generator, bounding how much joint training MelodyScribe needs.	10
RLAIF	RLAIF VS. RLHF: SCALING REINFORCEMENT LEARNING FROM HUMAN FEEDBACK WITH AI FEEDBACK	Lee, Harrison; Phatale, Samrat; Mansoor, Hassan; Mesnard, Thomas; Ferret, Johan; Lu, Kellie et al.	2023	arXiv preprint (venue not verified)	2309.00267					unknown	AI-labeled preferences match RLHF; works even when labeler equals policy size; direct-RLAIF scores rewards straight from an off-the-shelf LLM	4	3	admit	verified via arXiv abs page and downloaded PDF; frontier-as-judge reward template for Proof-as-reward	4
RAGAS	Ragas: Automated Evaluation of Retrieval Augmented Generation	Shahul Es, Jithin James, Luis Espinosa-Anke, Steven Schockaert	2024	EACL 2024 System Demonstrations	2309.15217	https://github.com/vibrantlabsai/ragas	15714	2026-02-24	Apache-2.0	yes: code, WikiEval dataset on HF	Reference-free RAG metrics (faithfulness, answer relevance, context relevance) via LLM prompts; validated against human judgments on WikiEval.	6	3	admit	Abs page and full PDF opened; repo moved explodinggradients/ragas to vibrantlabsai/ragas, followed redirect.	8
RankRAG	RankRAG: Unifying Context Ranking with Retrieval-Augmented Generation in LLMs	Yu; Ping; Liu; Wang; You; Zhang; Shoeybi; Catanzaro	2024	NeurIPS 2024	2407.02485	n/a	n/a	n/a	n/a	paper only	One instruction-tuned LLM does both context ranking and answer generation; a small ranking-data fraction beats expert rankers and lifts nine RAG benchmarks at 8B and 70B.	3	3	admit	Abs page, PDF and NeurIPS page opened and verified; direct evidence that ranking and generation co-train in one model with little ranking data.	10
ReLiK	ReLiK: Retrieve and LinK, Fast and Accurate Entity Linking and Relation Extraction on an Academic Budget	Riccardo Orlando, Pere-Lluis Huguet Cabot, Edoardo Barba, Roberto Navigli	2024	Findings of ACL 2024	2408.00103	https://github.com/SapienzaNLP/relik	518	2025-07-29	none stated	yes (code + tiny/small/base/large/XL HF checkpoints incl. closed-IE)	Retriever-reader EL+RE with shared reader doing closed IE in one forward pass; SOTA on academic budget	1	3	admit	Verified at arxiv abs page, ACL anthology page, GitHub API, HF collection, OpenReview 2026-09-12	6
Echo	Repetition Improves Language Model Embeddings	Jacob Mitchell Springer; Suhas Kotha; Daniel Fried; Graham Neubig; Aditi Raghunathan	2024	arXiv preprint	2402.15449				unknown	unknown	Echo (repeat-input) embeddings from causal LMs gain 5%+ zero-shot with no architecture change	3	3	admit	Abs page + PDF opened; explains why naive last-token pooling fails and how to fix it without bidirectionality	3
Re-DocRED	Revisiting DocRED - Addressing the False Negative Problem in Relation Extraction	Qingyu Tan, Lu Xu, Lidong Bing, Hwee Tou Ng, Sharifah Mahani Aljunied	2022	EMNLP 2022	2205.12696	https://github.com/tonytan48/re-docred	68	2023-08-21	MIT	yes (re-annotated dataset + eval script)	Re-annotated 4053 docs (64.6% triples were missing); models gain ~13 F1; adds freq/long-tail/intra/inter metrics	2	3	admit	Verified at arxiv abs and html pages, ACL anthology page, GitHub page, HF paper page 2026-09-12	6,8
Verifier-Flaws	SCALING FLAWS OF VERIFIER-GUIDED SEARCH IN MATHEMATICAL REASONING	Yu, Fei; Li, Yingru; Wang, Benyou	2025	arXiv preprint (venue not verified)	2502.00271					unknown	imperfect verifiers misrank and prune all valid paths at scale; repeated sampling overtakes verifier search; holds at 7B	4	3	admit	verified via arXiv abs page and downloaded PDF; core caveat for validator-as-reward design	4
RFT	SCALING RELATIONSHIP ON LEARNING MATHEMATICAL REASONING WITH LARGE LANGUAGE MODELS	Yuan, Zheng; Yuan, Hongyi; Li, Chengpeng; Dong, Guanting; Lu, Keming; Tan, Chuanqi et al.	2023	arXiv preprint (working paper)	2308.01825					unknown	rejection-sampling fine-tuning on self-generated correct paths; log-linear data scaling; LLaMA-7B GSM8K 35.9 to 49.3 percent	4	3	admit	verified via arXiv abs page and downloaded PDF; rejection-sampling data scaling law	4
SeqKD	SEQUENCE-LEVEL KNOWLEDGE DISTILLATION	Kim, Yoon; Rush, Alexander M.	2016	arXiv preprint (venue not verified)	1606.07947					unknown	train student on teacher-generated sequences rather than token labels; best student 10x faster with little loss	4	3	admit	verified via arXiv abs page and downloaded PDF; founding sequence-level distillation result	4
STaR	STAR: BOOTSTRAPPING REASONING WITH REASONING	Zelikman, Eric; Wu, Yuhuai; Mu, Jesse; Goodman, Noah D.	2022	arXiv preprint (venue not verified)	2203.14465					unknown	iterative loop: generate rationales, keep those yielding correct answers (validator filter), retrain; matches 30x larger SOTA	4	3	admit	verified via arXiv abs page and downloaded PDF; validator-filtered self-training template for Proof-as-reward	4
SuperCorrect	SUPERCORRECT: ADVANCING SMALL LLM REASONING WITH THOUGHT TEMPLATE DISTILLATION AND SELF-CORRECTION	Yang, Ling; Yu, Zhaochen; Zhang, Tianjun; Xu, Minkai; Gonzalez, Joseph E.; Cui, Bin et al.	2024	ICLR 2025	2410.09008	https://github.com/YangLing0818/SuperCorrect-llm	90	2025-03-23	none listed	yes (code, data, models per abstract)	teacher thought-templates plus cross-model DPO teach 7B student self-correction; beats DeepSeekMath-7B by 7.8/5.3 percent	4	3	admit	verified via arXiv abs page, GitHub API, downloaded PDF; teacher-distill plus DPO recipe at 7B	4
Forgetting Scaling Laws	Scaling Laws for Forgetting When Fine-Tuning Large Language Models	Damjan Kalajdzievski	2024	not venue-checked (arXiv abs excerpt)	2401.05605	unknown	unverified	unverified	unverified	unknown	PEFT still forgets: forgetting is inverse-linear in FT loss and a shifted power law in params-tuned and steps; proposes pre/post cross-entropy forgetting metric.	5	3	admit	Abs page excerpt opened; only quantitative forgetting law found.	5
PersonaHub	Scaling Synthetic Data Creation with 1,000,000,000 Personas	Tao Ge, Xin Chan, Xiaoyang Wang, Dian Yu, Haitao Mi, Dong Yu	2024	arXiv preprint (venue unverified)	2406.20094	none verified (github.com/proj-persona/PersonaHub returns 404)	unverified	unverified	unverified	Data: HF proj-persona/PersonaHub (800 likes)	1B web-mined personas as generation lenses for math, instructions, knowledge, NPC and tool data.	2	3	admit	Verified at arxiv.org/abs/2406.20094; PDF downloaded and text-checked; HF dataset entry fetched.	2
Humpback	Self-Alignment with Instruction Backtranslation	Xian Li, Ping Yu, Chunting Zhou, Timo Schick, Omer Levy, Luke Zettlemoyer, Jason Weston, Mike Lewis	2023	arXiv preprint (venue unverified)	2308.06259	none official (unofficial: github.com/Spico197/Humpback, 139 stars)	unverified	unverified	unverified	No official release verified	Backtranslates instructions from unannotated web segments (502K) and filters by self-consistency; beats text-davinci-003 win-rate.	2	3	admit	Verified at arxiv.org/abs/2308.06259; PDF downloaded and text-checked.	2
Self-Instruct	Self-Instruct: Aligning Language Models with Self-Generated Instructions	Yizhong Wang, Yeganeh Kordi, Swaroop Mishra, Alisa Liu, Noah A. Smith, Daniel Khashabi, Hannaneh Hajishirzi	2022	ACL 2023	2212.10560	https://github.com/yizhongw/self-instruct	4611	2023-03-27	Apache-2.0	Code + 52K dataset (HF yizhongw/self_instruct)	Bootstraps 52K instructions from seed tasks with similarity filtering; +33% absolute on SuperNI.	2	3	admit	Verified at arxiv.org/abs/2212.10560; PDF downloaded and text-checked.	2
Self-RAG	Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection	Akari Asai; Zeqiu Wu; Yizhong Wang; Avirup Sil; Hannaneh Hajishirzi	2024	ICLR 2024	2310.11511	https://github.com/AkariAsai/self-rag	2424	2024-05-25	MIT	7B/13B generator and critic models released	Reflection tokens for on-demand retrieval and self-critique distilled offline from GPT-4; 7B beats ChatGPT on ODQA/reasoning.	6	3	admit	Verified at arXiv abs page, ICLR proceedings page, project page, repo, and GitHub API; validator-signal training and token-level control are the closest match to Proof-gated op emission.	9,10
SmolLM2	SmolLM2: When Smol Goes Big -- Data-Centric Training of a Small Language Model	Allal et al.	2025	arXiv preprint (cs.CL)	2502.02737	https://github.com/huggingface/smollm	3891	2026-05-26	Apache-2.0	yes (weights, SmolTalk/FineMath/Stack-Edu datasets, alignment-handbook configs)	1.7B on 11T tokens multi-stage; SFT on SmolTalk 2 epochs LR 3e-4 BS128 seq8192; DPO on UltraFeedback 2 epochs LR 1e-6 beta 0.5	4	3	admit	Primary verified (abs page + PDF + recipe yamls fetched); fully open SFT/DPO recipe at 1.7B with exact hyperparameters	7
SmolTulu	SmolTulu: Higher Learning Rate to Batch Size Ratios Can Lead to Better Reasoning in SLMs	Alrashed	2024	arXiv preprint (cs.CL)	2412.08347	n/a (HF: SultanR/SmolTulu-1.7b-Instruct)	n/a	n/a	Apache-2.0 (weights per HF)	yes (weights + RLVR variant on HF)	Tulu-3 pipeline adapted to SmolLM2-1.7B: reasoning (ARC/GSM8K) wants high LR/BS ratio (SFT LR/BS 11.25e-6), DPO 8e-7/BS12 len-normed beta 5.0; IFEval 67.7%, GSM8K 51.6%	4	3	admit	Primary verified (abs page + PDF + HF model pages fetched); only independent LR/BS ablation study at 135M-1.7B	7
SynCode	SynCode: LLM Generation with Grammar Augmentation	Ugare et al.	2024	arXiv preprint	2403.01632	https://github.com/structuredllm/syncode	339	2026-01-19	MIT	yes: SynCode library	Sound/complete CFG decoding; 100% JSON-schema validity on Gemma2-2B	1	3	admit	Abs page opened and verified; repo stats via GitHub API	1
Text2KGBench	Text2KGBench: A Benchmark for Ontology-Driven Knowledge Graph Generation from Text	Nandana Mihindukulasooriya, Sanju Tiwari, Carlos F. Enguix, Kusum Lata	2023	ISWC 2023	2308.02357	https://github.com/cenguix/Text2KGBench	unknown	unknown	unknown	yes (10+19 ontologies, ~18k sentences, metric code, Vicuna/Alpaca baselines)	Ontology-conditioned fact extraction eval: P/R/F1 + ontology conformance + subject/relation/object hallucination	1	3	admit	Verified at arxiv abs page, ar5iv full text, ISWC paper PDF, ADS record 2026-09-12	6,8
BFCL	The Berkeley Function Calling Leaderboard: From Tool Use to Agentic Evaluation of Large Language Models	Patil et al.	2025	ICML 2025	none (PMLR v267 patil25a)	https://gorilla.cs.berkeley.edu/leaderboard	—	—	—	yes: live leaderboard + eval harness	AST/execution function-call eval; de-facto standard small-model gate	1	3	admit	Proceedings page content fetched and verified; no arXiv id exists to the author's knowledge	1
TinyAgent	TinyAgent: Function Calling at the Edge	Erdogan et al.	2024	EMNLP 2024 demo	2409.00608	https://github.com/SqueezeAILab/TinyAgent	498	2024-09-04	MIT	yes: 1.1B/7B models + dataset	Narrow-task SFT takes 1.1B 12.7%->80% success, beating GPT-4-Turbo	1	3	admit	Abs page opened and verified; EMNLP venue via ACL Anthology page; repo stats via GitHub API	1
ToolACE	ToolACE: Winning the Points of LLM Function Calling	Liu et al.	2024	ICLR 2025	2409.00920	none verified	—	—	—	yes: model + data subset (HF Team-ACE)	API self-evolution + complexity-guided dialogs + dual verification; LoRA r16	1	3	admit	Abs page opened and verified; ICLR venue via proceedings page; HF org via HF dataset page	1
ToolLLM	ToolLLM: Facilitating Large Language Models to Master 16000+ Real-world APIs	Qin et al.	2023	arXiv preprint	2307.16789	none verified	—	—	—	yes: ToolBench data (reported in paper)	DFSDT multi-agent data pipeline + ToolBench 16k-API benchmark	1	3	admit	Abs page opened and verified; admitted for DFSDT pipeline and scale precedent	1
Arrow-MBC	Towards Modular LLMs by Building and Reusing a Library of LoRAs	Oleksiy Ostapenko; Zhan Su; Edoardo Maria Ponti; Laurent Charlin; Nicolas Le Roux; Matheus Pereira; Lucas Caccia; Alessandro Sordoni	2024	arXiv preprint	2405.11157				unknown	unknown	Zero-shot Arrow routing over an MBC-clustered LoRA library; matches/outperforms joint training	3	3	admit	Abs page + PDF opened; Phi-2/Mistral scale; routing-without-retraining evidence	3
DSI	Transformer Memory as a Differentiable Search Index	Tay; Tran; Dehghani; Ni; Bahri; Mehta; Qin; Hui; Zhao; Gupta; Schuster; Cohen; Metzler	2022	NeurIPS 2022	2202.06991	n/a	n/a	n/a	n/a	paper only	Single Transformer maps queries directly to docids; indexing and retrieval trained jointly with atomic and semantic-string docids.	3	3	admit	Abs page and PDF opened and verified; foundational generative-retrieval joint-training result with T5-Base-to-XXL scale interplay.	10
