name	title	authors	year	venue	arxiv_id_or_doi	repo_url	stars	last_push	license	artefact_released	one_line	capability	relevance_0_3	disposition	reason	lanes
Mem-alpha	Mem-alpha: Learning Memory Construction via Reinforcement Learning	Wang, Yu; Takanobu, Ryuichi; Liang, Zhiqi; Mao, Yuzhen; Hu, Yuanzhe; McAuley, Julian; Wu, Xiaojian	2025	arXiv preprint	2509.25911	https://github.com/wangyu-ustc/Mem-alpha	227	2025-12-25	not specified	unverified (community HF upload YuWangX/Memalpha-4B, not confirmed official)	RL (verl) trains a Qwen3-4B agent to emit store/structure/update ops over core/episodic/semantic memory; reward is downstream QA accuracy.	2,4	3	admit	Verified at arXiv abs + PDF + repo README link in paper; backbone and reward design confirmed in full text.	4,8
Mem0	Mem0: Building Production-Ready AI Agents with Scalable Long-Term Memory	Prateek Chhikara et al.	2025	arXiv preprint	2504.19413	https://github.com/mem0ai/mem0	65151	2026-09-11	Apache-2.0	yes	Two-phase extract-then-update pipeline over facts plus optional graph store; ADD/UPDATE/DELETE operations.	2	3	admit	Abs page opened and abstract verified; repo metadata fetched; operation set is reusable for Folio writes.	3,8
MemGPT	MemGPT: Towards LLMs as Operating Systems	Charles Packer et al.	2023	arXiv preprint	2310.08560	https://github.com/letta-ai/letta	24702	2026-09-10	Apache-2.0	yes	Virtual-context OS metaphor: working context plus recall/archival stores with explicit read-write calls.	2	3	admit	Abs page opened and abstract verified; stores map directly to MelodyScribe filing operations.	3,8
MemOS	MemOS: A Memory OS for AI System	Zhiyu Li et al.	2025	arXiv preprint	2507.03724	https://github.com/MemTensor/MemOS	11287	2026-09-09	Apache-2.0	yes	MemCube units with type metadata governed by MemScheduler lifecycle across parametric activation and plaintext stores.	2	3	admit	Abs page opened and abstract verified; repo metadata fetched; only system with explicit parametric store type.	3,8
MemTX	MemTX: Transactional Belief Commit for Stateful Agent Memory	Xiaoyang Li et al.	2026	arXiv preprint	2607.23929	--	--	--	--	unknown	A memory write is not a belief commit: staged commit protocol before writes become actionable.	2	3	admit	Abs page opened and abstract verified; commit gate design transfers to Folio admission.	3
Memanto	Memanto: Typed Semantic Memory with Information-Theoretic Retrieval for Long-Horizon Agents	Seyed Moein Abtahi et al.	2026	arXiv preprint	2604.22085	--	--	--	--	unknown	Typed semantic memory that skips LLM entity extraction and graph maintenance for cheaper ingestion.	2	3	admit	Abs page opened and abstract verified; direct evidence typed stores need not require LLM extraction.	3
minja	Memory Injection Attacks on LLM Agents via Query-Only Interaction (MINJA)	Shen Dong; Shaochen Xu; Pengfei He; Yige Li; Jiliang Tang; Tianming Liu; Hui Liu; Zhen Xiang	2025	NeurIPS 2025	2503.03704	https://github.com/dsh3n77/MINJA	37	unknown	MIT	yes (code)	Query-only memory poisoning via bridging steps + progressive shortening; 98.2% inject / 76.8% ASR	5	3	admit	Verified: abs page + PDF + NeurIPS proceedings + repo page live with matching citation	6
provenance-firewall	Memory Provenance Laundering in LLM Agents: A Non-Amplification Firewall for Persistent Memory	Xu, Xiao, Shao, Liu, Li	2026	arXiv preprint	2607.29167	--	n/a	n/a	n/a	none found	Non-amplification firewall blocking provenance laundering in persistent memory.	4	3	admit	Abs page and PDF verified; no code link found.	8
Memory-R1	Memory-R1: Enhancing Large Language Model Agents to Manage and Utilize Memories via Reinforcement Learning	Yan, Sikuan; Yang, Xiufeng; Huang, Zuchao; Nie, Ercong; Ding, Zifeng; Li, Zonggen; Ma, Xiaowen; Bi, Jinhe; Kersting, Kristian; Pan, Jeff Z.	2025	arXiv preprint	2508.19828	--	unknown	unknown	unknown	no (no code link in paper; no HF hits for Memory-R1)	Two RL agents (Memory Manager with ADD/UPDATE/DELETE/NOOP + Answer Agent) fine-tuned with PPO/GRPO on 152 QA pairs; tested on LLaMA-3.1-8B and Qwen-2.5-7B.	2,4	3	admit	Verified at arXiv abs + PDF full text (ops, algorithm, backbones); no code or weights released, so reuse is recipe-only.	4
MemoryBank	MemoryBank: Enhancing Large Language Models with Long-Term Memory	Wanjun Zhong et al.	2023	arXiv preprint	2305.10250	--	--	--	--	yes (code per paper)	Memory tower with Ebbinghaus forgetting curve plus user-portrait updater for personality retention.	4	3	admit	Abs page opened and abstract verified; forgetting curve is a concrete eviction policy.	3,6,8
minicpm4	MiniCPM4: Ultra-Efficient LLMs on End Devices	Xiao et al. (MiniCPM Team)	2025	arXiv	2506.07900	https://github.com/OpenBMB/MiniCPM	10313	not-fetched	Apache-2.0	yes (0.5B/8B, cdf. CPM.cu, Eagle heads)	0.5B/8B end-side models; sparse attention + quantization + speculative sampling; MiniCPM4-MCP tool-use section; 7x faster 128K prefilling than Qwen3-8B (vendor-reported).	2	3	admit	Seed item re-verified from abs page, report and repo; directly relevant to on-device op emission and MCP tool use.	9
minillm	MiniLLM: On-Policy Distillation of Large Language Models	Gu et al.	2023	arXiv preprint	2306.08543	https://github.com/microsoft/LMOps (minillm)	unknown	unknown	unverified	yes: code+student models (HF org MiniLLM verified, e.g. MiniPLM-Qwen)	Reverse-KL + policy-gradient on student samples fixes exposure bias; GPT-2-760M students improve on RougeL/exact-match	2	3	admit	Abs page verified; PDF downloaded. Recalled id 2312.13344 was wrong (see ledger).	7
MiniPIC	MiniPIC: Flexible Position-Independent Caching in <100LOC	Nathan Ordonez, Thomas Parnell (IBM Research)	2026	preprint	2606.13126	https://github.com/IBM/vllm (vLLM fork)	27	2026-02-27	Apache-2.0	code (fork)	Unrotated-K storage with late RoPE + user-controlled reuse primitives; minimal-diff PIC inside vLLM.	3	3	admit	Verified at arXiv abs + HTML + GitHub API; PDF downloaded.	2
BGE-M3	Multi-Linguality, Multi-Functionality, Multi-Granularity Text Embeddings	Chen; Xiao; Zhang; Luo; Lian; Liu	2024	arXiv preprint	2402.03216	https://github.com/FlagOpen/FlagEmbedding	12153	2026-08-24	MIT	yes (code + weights)	Single encoder unifies dense+sparse+multi-vector retrieval via self-distillation; 8k context	1	3	admit	Primary source opened (abs + PDF); encoder-only; fusion-of-modalities precedent for capability 1 filing	1,9
nomic-embed-v1	Nomic Embed: Training a Reproducible Long Context Text Embedder	Nomic AI team (full author list not captured)	2024	arXiv; TMLR 2025	2402.01613	--	not-fetched	not-fetched	not-fetched	yes (137M; weights + code + data)	137M, 8K context; beats ada-002 and text-embedding-3-small on MTEB and LoCo; fully reproducible pipeline.	1	3	admit	Abs page and paper fetched; long-context-at-137M plus full-reproducibility precedent.	9
ipi	Not what you've signed up for: Compromising Real-World LLM-Integrated Applications with Indirect Prompt Injection	Kai Greshake; Sahar Abdelnabi; Shailesh Mishra; Christoph Endres; Thorsten Holz; Mario Fritz	2023	ACM AISec 2023	2302.12173	https://github.com/greshake/llm-security	2100 (page shows 2.1k)	unknown	MIT	yes (demo code)	Founding indirect-prompt-injection taxonomy incl. persistent cross-session compromise via agent memory	5	3	admit	Verified: abs page + PDF + ACM DL page + repo page live	6
oep	OEP: Poisoning Self-Evolving LLM Agents via Locally Correct but Non-Transferable Experiences	Wang, Lou, Zhou, Li	2026	arXiv preprint	2605.18930	--	n/a	n/a	n/a	none found	Attack injecting locally-correct but non-transferable experiences into evolving memory.	4	3	admit	Abs page and PDF verified; no code link found.	8
on-policy-distillation-ag arwal	On-Policy Distillation of Language Models: Learning from Self-Generated Mistakes	Agarwal et al.	2023	arXiv preprint	2306.13649	--	--	--	--	unverified	Student-generated outputs as distillation data with teacher correction; GKD-style on-policy recipe at 77M-7B scale	2	3	admit	Abs verified; PDF downloaded. Admitted in place of unverifiable 'GKD' name (see ledger).	7
orca-2	Orca 2: Teaching Small Language Models How to Reason	Mitra et al.	2023	arXiv preprint	2311.11045	--	--	--	--	no (weights unreleased; prompt-strategy recipe)	7B/13B taught 27 reasoning strategies (step-by-step, recall-then-generate) beat larger models on reasoning evals	2	3	admit	Abs verified; PDF downloaded.	7
orca	Orca: Progressive Learning from Complex Explanation Traces of GPT-4	Mukherjee et al.	2023	arXiv preprint	2306.02707	--	--	--	--	no (weights unreleased; flan-style data recipe)	13B Orca trained on GPT-4 explanation traces matches ChatGPT on reasoning; imitation + explanations recipe	2	3	admit	Abs verified via OpenAlex; PDF downloaded.	7
phi-3	Phi-3 Technical Report: A Highly Capable Language Model Locally on Your Phone	Abdin et al.	2024	arXiv preprint	2404.14219	https://github.com/microsoft/phi-3cookbook	unknown	unknown	unverified	yes: weights on HF verified (microsoft/Phi-3-mini-4k-instruct, 439k downloads)	3.8B Phi-3-mini competitive with 7B+ on MMLU/MT-bench via data curation; existence proof for 2-4B narrow-task quality	2	3	admit	Abs verified; PDF downloaded; HF weights verified via HF API.	7
poisonedrag	PoisonedRAG: Knowledge Corruption Attacks to Retrieval-Augmented Generation of Large Language Models	Wei Zou; Runpeng Geng; Binghui Wang; Jinyuan Jia	2024	USENIX Security 2025	2402.07867	https://github.com/sleeepeer/PoisonedRAG	300	2026-01-27	MIT	yes (code)	Retrieval+generation two-condition poison texts; ~97% ASR with 5 texts in millions; tested defenses fail	5	3	admit	Verified: abs page + PDF + USENIX Security 2025 PDF + repo live	6
EmbeddingGemma	Powerful and Lightweight Text Representations	Schechter Vera; Dua; Zhang; Salz; Mullins; Panyam	2025	arXiv preprint	2509.20354	https://huggingface.co/google/embeddinggemma-300m	n/a (HF 2.1M downloads)	--	Gemma (gated)	yes (308M weights, quantized/truncated variants)	308M decoder-derived encoder via T5Gemma init + Gemini-Embedding distillation; SOTA <500M	1	3	admit	Primary source opened (abs + PDF); encoder-only output (generation discarded), so recipe only, not unification	1,9
PromptCache	Prompt Cache: Modular Attention Reuse for Low-Latency Inference	In Gim, Guojun Chen, Seung-seob Lee, Nikhil Sarda, Anurag Khandelwal, Lin Zhong	2023	MLSys 2024	2311.04934	https://github.com/yale-sys/prompt-cache	114	2024-11-09	MIT	code (prototype)	Schema-defined prompt modules with precomputed attention states reused across prompts; 8x GPU / 60x CPU TTFT cut.	3	3	admit	Verified at arXiv abs + HTML (repo link) + GitHub API; PDF downloaded.	2
qlora	QLoRA: Efficient Finetuning of Quantized LLMs	Dettmers et al.	2023	NeurIPS 2023	2305.14314	--	--	--	--	unverified (method)	4-bit NF4 + paged optimizers fine-tune 65B on one 48GB GPU; implies 2B fits easily in 16GB	2	3	admit	Abs verified; PDF downloaded.	7
qwen3	Qwen3 Technical Report	An Yang et al. (Qwen Team)	2025	arXiv	2505.09388	--	not-fetched	not-fetched	Apache-2.0	yes (weights incl. 0.6B/1.7B/4B)	Unified thinking/non-thinking dense models 0.6B-32B plus MoE; 0.6B/1.7B at 32K context, 4B+ at 128K; smalls distilled from 32B/235B flagships; strong agent/tool evals.	2	3	admit	Abs page and report fetched; directly gives MelodyScribe small-model shortlist (0.6B/1.7B) with tool-calling and long-context numbers.	9
RAG-Gym	RAG-Gym: Systematic Optimization of Language Agents for Retrieval-Augmented Generation (arXiv title: Supervising the search process produces reliable and generalizable information-seeking agents)	Xiong, Guangzhi; Jin, Qiao; Wang, Xiao; Fang, Yin; Liu, Haolin; Yang, Yifan; Chen, Fangyuan; Song, Zhixing; Wang, Dengyu; Zhang, Minjia; Lu, Zhiyong; Zhang, Aidong	2025	arXiv preprint	2502.13957	https://github.com/RAG-Gym/RAG-Gym	127	2026-07-14	NOASSERTION	yes (HF org RAG-Gym: process-reward models, SFT and DPO actors)	Systematic SFT/DPO/PPO + process-critic tuning of Llama-3.1-8B search agents; DPO with process supervision beats outcome-RL (Search-R1, R1-Searcher) especially out-of-domain.	2	3	admit	Verified at arXiv abs + PDF + repo + HF Hub; the key caution in the lane: outcome-only RL overfits, process supervision generalizes.	4
RAGCache	RAGCache: Efficient Knowledge Caching for Retrieval-Augmented Generation	Chao Jin, Zili Zhang, Xuanlin Jiang, Fangyue Liu, Xin Liu, Xuanzhe Liu, Xin Jin	2024	preprint	2404.12457	--	--	--	--	--	Knowledge-tree cache of retrieved chunks across GPU/host memory with RAG-aware replacement; 4x TTFT on vLLM+Faiss.	3	3	admit	Verified at arXiv abs; no public repo found in paper HTML or GitHub search; PDF downloaded.	2
RECOMP	RECOMP: Improving Retrieval-Augmented LMs with Compression and Selective Augmentation	Xu, Fangyuan; Shi, Weijia; Choi, Eunsol	2023	ICLR 2024	2310.04408	https://github.com/carriex/recomp	149	2026-01-06	MIT	code only (checkpoints not confirmed)	110M extractive + 775M abstractive compressors trained with end-task signal; emit empty string when retrieval is useless (selective augmentation) down to ~6% tokens.	2	3	admit	Verified at arXiv abs + PDF + repo + ICLR proceedings entry; empty-string selective augmentation is a directly reusable retrieve-decision head.	4
REMem	REMem: Reasoning with Episodic Memory in Language Agent	Yiheng Shu et al.	2026	ICLR 2026	2602.13530	--	--	--	--	unknown	Offline hybrid memory graph of time-aware gists and facts plus online agentic retriever with tools.	2	3	admit	Abs page opened via search listing and verified; formalizes episodicity gap in current agents.	3
RankRAG	RankRAG: Unifying Context Ranking with Retrieval-Augmented Generation in LLMs	Yu, Yue; Ping, Wei; Liu, Zihan; Wang, Boxin; You, Jiaxuan; Zhang, Chao; Shoeybi, Mohammad; Catanzaro, Bryan	2024	NeurIPS 2024	2407.02485	--	unknown	unknown	unknown	no (no code or weights released)	Single Llama3-8B SFT blend for both context ranking (True/False + index selection) and answer generation; beats 10x-data rankers and GPT-4 on 9 RAG benchmarks.	2	3	admit	Verified at arXiv abs + PDF + NeurIPS proceedings entry; no code/weights released, and 8B training cost 32xA100x10h, so it is recipe + data-blend recipe only.	4
ReCache	ReCache: Efficient KV Cache Reuse and Compression for Tool-Augmented LLM Agents	Yichu Fang, Sitong Wei, Haozhe Hu, Xiaoyu Shen	2026	preprint	2608.19662	https://github.com/EIT-NLP/ReCache	10	2026-08-21	None stated	code	Resource-local positions + contribution-selected layer/head routes; caches tool/skill schemas reused in varying orders.	3	3	admit	Verified at arXiv abs + HTML + GitHub API; PDF downloaded.	2
Reflexion	Reflexion: Language Agents with Verbal Reinforcement Learning	Noah Shinn et al.	2023	arXiv preprint	2303.11366	--	--	--	--	yes (code per paper)	Episodic memory of verbal self-reflections in a slot, no weight updates; actor-evaluator loop.	4	3	admit	Abs page opened and abstract verified; typed episodic slot with no SQL or placement policy.	3,6,8
Echo / Repetition Improves Language Model Embeddings	Repetition Improves Language Model Embeddings	Springer; Kotha; Fried; Neubig; Raghunathan	2024	ICLR 2025	2402.15449	--	n/a	--	--	no (method only; no released checkpoint found)	Repeat-input trick gives causal decoders bidirectional-like embeddings with zero architecture change	1	3	admit	Primary source opened (abs + PDF); no official code repo found; doubles sequence length	1
retain-or-consolidate	Retain or Consolidate? Budget-Dependent Operator Selection for Language Agent Memory	Kang, Liu, Kai, Liang, Tang, Cui et al.	2026	arXiv preprint	2607.17545	--	n/a	n/a	n/a	none found	Selects retain-vs-consolidate operators based on memory budget; direct revise-pass policy.	4	3	admit	Abs page and PDF verified; no code link found.	8
RouteLLM	RouteLLM: Learning to Route LLMs with Preference Data	Isaac Ong; Amjad Almahairi; Vincent Wu; Wei-Lin Chiang; Tianhao Wu; Joseph E. Gonzalez; M Waleed Kadous; Ion Stoica	2024	arXiv preprint	2406.18665	https://github.com/lm-sys/RouteLLM	5477	2024-08-10	Apache-2.0	yes	Preference-data router sending easy queries to small/cheap models, hard ones to frontier.	2	3	admit	Primary source opened (arXiv abs + API record); PDF downloaded and %PDF-verified.	5,7
RouterRetriever	RouterRetriever: Routing over a Mixture of Expert Embedding Models	Hyunji Lee; Luca Soldaini; Arman Cohan; Minjoon Seo; Kyle Lo	2024	arXiv preprint	2409.02685	https://github.com/amy-hyunji/RouterRetriever	14	2025-02-09	unverified	yes	Per-query routing over specialist embedding models beats any single embedder.	2	3	admit	Primary source opened (arXiv abs + API record); PDF downloaded and %PDF-verified.	5
SGLang	SGLang: Efficient Execution of Structured Language Model Programs	Lianmin Zheng, Liangsheng Yin, Zhiqiang Xie, Chuyue Sun, Jeff Huang, Cody Hao Yu, Shiyi Cao, C. Kozyrakis, Ion Stoica, J. Gonzalez, Clark Barrett, Ying Sheng	2023	preprint	2312.07104	https://github.com/sgl-project/sglang	35834	2026-09-12	Apache-2.0	engine (production)	RadixAttention: radix-tree KV reuse across requests/programs + compressed FSM for structured decoding.	3	3	admit	Verified at arXiv abs + GitHub API; PDF downloaded.	2,7
PromptEOL	Scaling Sentence Embeddings with Large Language Models	Jiang; Huang; Luan; Wang; Zhuang	2023	EMNLP 2024 (Findings)	2307.16645	https://github.com/kongds/scaling_sentemb	109	2024-03-22	none listed	yes (code + models per paper)	Explicit one-word-limitation prompt extracts causal-LM embeddings; scaling study 125M-66B; 2.7B beats 4.8B prior SOTA	1	3	admit	Primary source opened (abs + PDF); only scaling study down to 125M; repo license unlisted	1
Search-R1	Search-R1: Training LLMs to Reason and Leverage Search Engines with Reinforcement Learning	Jin, Bowen; Zeng, Hansi; Yue, Zhenrui; Yoon, Jinsung; Arik, Sercan; Wang, Dong; Zamani, Hamed; Han, Jiawei	2025	arXiv preprint	2503.09516	https://github.com/PeterGriffinJin/Search-R1	5408	2025-11-13	Apache-2.0	yes (HF org PeterJinGo: Qwen2.5 3B + 7B GRPO/PPO checkpoints)	GRPO/PPO teaches Qwen2.5-3B/7B when and how to call a search engine mid-reasoning, masking retrieved tokens in the loss.	2	3	admit	Verified at arXiv abs + PDF + repo; retrieved-token masking is the key implementation detail for MelodyScribe-style rollouts.	4
Self-RAG	Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection	Asai, Akari; Wu, Zeqiu; Wang, Yizhong; Sil, Avirup; Hajishirzi, Hannaneh	2023	arXiv preprint	2310.11511	https://github.com/AkariAsai/self-rag	2423	2024-05-25	MIT	yes (HF selfrag/selfrag_llama2_7b, _13b, self_rag_critic)	LLaMA2-7B/13B fine-tuned to emit retrieve/no-retrieve and critique reflection tokens controlling on-demand retrieval.	2	3	admit	Verified at arXiv abs + PDF + repo + HF Hub; the canonical small-model retrieve-decision recipe with released artefacts.	4,8
LOTUS	Semantic Operators: A Declarative Model for Rich, AI-based Data Processing	Liana Patel; Siddharth Jha; Melissa Pan; Harshit Gupta; Parth Asawa; Carlos Guestrin; Matei Zaharia	2024	arXiv preprint	2407.11418	https://github.com/lotus-data/lotus	1672	2026-07-03	Apache-2.0	yes	Formal semantic operators (filter/join/group-by/top-k in NL) with accuracy guarantees vs a gold algorithm.	2	3	admit	Primary source opened (arXiv abs + API record); PDF downloaded and %PDF-verified.	5
LightRAG	Simple and Fast Retrieval-Augmented Generation	Guo; Xia; Yu; Ao; Huang	2024	EMNLP 2025 Findings	2410.05779	https://github.com/HKUDS/LightRAG	~39300 (search-index snapshot, fetched 2026-09-12)	2026-07-15	MIT	yes (code)	Dual-level (low/high) graph+vector retrieval with incremental update algorithm.	2	3	admit	Verified: arXiv abs + ACL Anthology + repo stats all fetched.	10
sleep-time-compute	Sleep-time Compute: Beyond Inference Scaling at Test-time	Lin, Snell, Wang, Packer, Wooders, Stoica, Gonzalez et al.	2025	arXiv preprint	2504.13171	https://github.com/letta-ai/sleep-time-compute	n/a	n/a	n/a	code	Offline precomputation of context into reusable state amortizes test-time cost.	4	3	admit	Abs page and PDF verified; repo link from abs page, existence verified (HTTP 200).	8
modernbert	Smarter, Better, Faster, Longer: A Modern Bidirectional Encoder (ModernBERT)	Warner et al. (Answer.AI/LightOn)	2024	arXiv; ACL 2025	2412.13663	https://github.com/AnswerDotAI/ModernBERT	1712	not-fetched	Apache-2.0	yes (149M base / 395M large, 8K native)	Modernized encoder on 2T tokens with RoPE + alternating local/global attention; SOTA short- and long-context retrieval per size; fastest measured encoder; ColBERT setting far ahead.	1	3	admit	Abs page, paper, repo and HF cards fetched; best encoder-backbone option if MelodyScribe keeps a separate small embedder.	9
smollm2	SmolLM2: When Smol Goes Big -- Data-Centric Training of a Small Language Model	Ben Allal et al. (HuggingFaceTB)	2025	arXiv	2502.02737	https://github.com/huggingface/smollm	3890	not-fetched	Apache-2.0	yes (135M/360M/1.7B base+instruct, datasets)	Fully-open 1.7B/360M/135M models overtrained on ~11T tokens; 1.7B-Instruct supports function calling; 16k variant reports HELMET scores.	2	3	admit	Abs page, paper, repo and HF cards fetched; fully-open recipe plus small-model tool-calling evidence.	9
KaLM-Embedding	Superior Training Data Brings A Stronger Embedding Model	Hu; Shan; Zhao; Sun; Liu; Li; Ye; Wei	2025	arXiv preprint	2501.01028	https://github.com/HITsz-TMG/KaLM-Embedding	119	2025-06-30	MIT	yes (code + 0.5B Qwen2-based + multilingual-mini)	Decoder-based embedder on Qwen2-0.5B SOTA among <1B models; persona synthetic data + ranking-consistency filter	1	3	admit	Primary source opened (abs + PDF); directly demonstrates sub-1B decoder-embedder viability	1
trustmem	TRUSTMEM: Learning Trustworthy Memory Consolidation for LLM Agents with Long-Term Memory	Yang, Paul, Srinivasan, Kulkarni, Chappidi	2026	arXiv preprint	2606.25161	--	n/a	n/a	n/a	none found	Trust-scored consolidation filtering untrustworthy content before it enters memory.	4	3	admit	Abs page and PDF verified; no code link found (paper references memobase as dependency).	8
TableRAG-hetero	TableRAG: A Retrieval Augmented Generation Framework for Heterogeneous Document Reasoning	Xiaohan Yu; Pu Jian; Chong Chen	2025	arXiv preprint	2506.10380	https://github.com/yxh-y/TableRAG	143	2025-07-23	unverified	yes	Joint retrieval over text and tables in mixed documents.	2	3	admit	Primary source opened (arXiv abs + API record); PDF downloaded and %PDF-verified.	5,10
TableRAG-million	TableRAG: Million-Token Table Understanding with Language Models	Si-An Chen; Lesly Miculicich; Julian Martin Eisenschlos; Zifeng Wang; Zilong Wang; Yanfei Chen; Yasuhisa Fujii; Hsuan-Tien Lin; Chen-Yu Lee; Tomas Pfister	2024	arXiv preprint	2410.04739	--	--	--	--	unverified	Schema + cell retrieval to query million-token tables without full-table prompts.	2	3	admit	Primary source opened (arXiv abs + API record); PDF downloaded and %PDF-verified.	5,10
bfcl	The Berkeley Function Calling Leaderboard (BFCL): From Tool Use to Agentic Evaluation	Patil et al. (Berkeley)	2025	ICML 2025 (PMLR v267)	PMLR-v267:patil25a (no arXiv id)	https://github.com/ShishirPatil/gorilla	13021	2026-04-13	Apache-2.0	yes (live leaderboard + bfcl-eval package + responses)	AST-plus-execution grading of serial/parallel/multi-turn/multi-step tool calls; de-facto standard; small models are directly comparable on it.	2	3	admit	No arXiv id exists; primary sources are the PMLR proceedings page and the live leaderboard (both fetched). No PDF filed.	9
toolace	ToolACE: Winning the Points of LLM Function Calling	Liu et al.	2024	arXiv preprint	2409.00920	--	--	--	--	code yes per paper; weights unverified (only 3rd-party HF hits)	8B model tops function-calling leaderboard via formalized data pipeline; small-model function-calling SOTA recipe	2	3	admit	Abs verified via OpenAlex; PDF downloaded.	7
Toolformer	Toolformer: Language Models Can Teach Themselves to Use Tools	Schick, Timo; Dwivedi-Yu, Jane; Dessì, Roberto; Raileanu, Roberta; Lomeli, Maria; Zettlemoyer, Luke; Cancedda, Nicola; Scialom, Thomas	2023	arXiv preprint	2302.04761	--	unknown	unknown	unknown	no (no official code or weights released)	GPT-J (6B) self-supervises API-call decisions (when/what/where to call search, QA, calculator) from its own sampled-and-filtered traces.	2	3	admit	Verified at arXiv abs + PDF full text; the original decide-to-delegate recipe at exactly MelodyScribe scale, but nothing released so it is recipe-only.	4,7
ZenDB	Towards Accurate and Efficient Document Analytics with Large Language Models	Yiming Lin; Madelon Hulsebos; Ruiying Ma; Shreya Shankar; Sepanta Zeighami; Aditya G. Parameswaran; Eugene Wu	2024	arXiv preprint	2405.04674	--	--	--	--	unverified	Template-based table discovery over document collections with cost/accuracy trade-offs.	2	3	admit	Primary source opened (arXiv abs + API record); PDF downloaded and %PDF-verified.	5
MiniRAG	Towards Extremely Simple Retrieval-Augmented Generation	Fan; Wang; Ren; Huang	2025	arXiv preprint	2501.06713	https://github.com/HKUDS/MiniRAG	1951 (search-index snapshot, fetched 2026-09-12)	2025-10-16	MIT	yes (code + LiHua-World on-device benchmark)	Heterogeneous chunk-entity graph + topology-enhanced retrieval letting SLMs match LLM-RAG at 25% storage.	2	3	admit	Verified: arXiv abs + PDF + repo stats all fetched.	10
nomic-embed-v2	Training Sparse Mixture Of Experts Text Embedding Models (Nomic Embed v2)	Nussbaum, Duderstadt (Nomic AI)	2025	arXiv	2502.07972	-- (code URL inside paper; not captured)	not-fetched	not-fetched	Apache-2.0	yes (nomic-embed-text-v2-moe: 475M total / 305M active)	First general-purpose MoE embedder; beats its parameter class monolingually and multilingually, rivals 2x-size models; code+models+eval data released.	1	3	admit	Abs page, paper and HF card fetched; MoE-per-store routing analogue for typed memory.	9
TurboRAG	TurboRAG: Accelerating Retrieval-Augmented Generation with Precomputed KV Caches for Chunked Text	Songshuo Lu, Hua Wang, Yutian Rong, Zhi Chen, Yaohua Tang	2024	preprint	2410.07590	https://github.com/MooreThreads/TurboRAG	102	2024-11-25	None stated	code	Offline-precomputed per-document KV + mask/position redesign + fine-tune to recover accuracy; ~8.6x mean TTFT cut.	3	3	admit	Verified at arXiv abs + HTML + GitHub API; PDF downloaded.	2
voyager	Voyager: An Open-Ended Embodied Agent with Large Language Models	Guanzhi Wang; Yuqi Xie; Yunfan Jiang; Ajay Mandlekar; Chaowei Xiao; Yuke Zhu; Linxi Fan; Anima Anandkumar	2023	arXiv preprint	2305.16291	https://github.com/MineDojo/Voyager	7194	2024-04-03	MIT	yes (code)	Ever-growing retrieved skill library of executable code; first self-written-skills system	5	3	admit	Verified: abs page + PDF + project page + repo live	6
xgrammar	XGrammar: Flexible and Efficient Structured Generation Engine for Large Language Models	Dong et al.	2024	arXiv preprint (MLSys 2025)	2411.15100	https://github.com/mlc-ai/xgrammar	1881	2026-09-11	Apache-2.0	yes: engine (repo API-verified)	Pushdown-automaton constrained decoding co-designed with serving; ~100x lower per-token overhead vs outlines-style	2	3	admit	Abs+repo verified; PDF downloaded.	7
Zep-Graphiti	Zep: A Temporal Knowledge Graph Architecture for Agent Memory	Preston Rasmussen et al.	2025	arXiv preprint	2501.13956	https://github.com/getzep/zep	4908	2026-09-11	Apache-2.0	yes	Bi-temporal property graph with valid and ingested timestamps for entity and edge versioning.	2	3	admit	Abs page opened and abstract verified; repo metadata fetched; temporal-validity model to copy.	3,10
eMEM	eMEM: A Hybrid Spatio-Temporal Memory System For Embodied Agents	A. Haroon Rasheed et al.	2026	arXiv preprint	2606.03374	--	--	--	--	unknown	Multi-index memory: SQLite structured storage plus hnswlib semantic search plus space-time keys.	2	3	admit	Abs page opened and abstract verified; only system found pairing SQLite with vector index explicitly.	3
agent-drift	Agent Drift: Quantifying Behavioral Degradation in Multi-Agent LLM Systems Over Extended Interactions	Rath	2026	arXiv preprint	2601.04170	--	n/a	n/a	n/a	none found	Quantifies behavioral drift over long multi-agent interactions; drift metric.	4	2	admit	Abs page and PDF verified; no code link found.	8
awm	Agent Workflow Memory	Zora Zhiruo Wang; Jiayuan Mao; Daniel Fried; Graham Neubig	2024	arXiv preprint	2409.07429	https://github.com/zorazrw/agent-workflow-memory	468	unknown	Apache-2.0	yes (code)	Induces reusable workflows offline/online; +24.6%/+51.1% on Mind2Web/WebArena	5	2	admit	Verified: abs page + PDF + repo page live	6
Agentic-Context-Cracking	Agentic Context Cracking: Token-Efficient Data Reasoning Agents via Adaptive Structuring of Unstructured Data	Milad Rezaei Hajidehi; Qitong Wang; Stratos Idreos	2026	arXiv preprint	2608.31082	--	--	--	--	unverified	Agent adaptively structures unstructured data once so later queries run cheaply (index-time ETL).	2	2	admit	Primary source opened (arXiv abs + API record); PDF downloaded and %PDF-verified.	5
